affiliations_original,affiliation_1,affiliation_2,confidence,manual,affiliation_1_manual,affiliation_2_manual
Texas A&M University and,Texas A&M University,,100,,,
Texas A&M University and,Texas A&M University,,100,,,
Texas A&M University and,Texas A&M University,,100,,,
and Texas A&M University,,Texas A&M University,100,,,
Texas A&M University and,Texas A&M University,,100,,,
and Texas A&M University,,Texas A&M University,100,,,
and Goethe University Frankfurt,,Goethe University Frankfurt,100,,,
Pennsylvania State University - Smeal College of Business and,Pennsylvania State University - Smeal College of Business,,100,,,
and,,,100,,,
Ifo Institute and,Ifo Institute,,100,,,
affiliation not provided to SSRN and,affiliation not provided to SSRN,,100,,,
McMaster University and,McMaster University,,100,,,
and Board of Governors of the Federal Reserve System,,Board of Governors of the Federal Reserve System,100,,,
and New York University (NYU) - Department of Finance,,New York University (NYU) - Department of Finance,100,,,
and Erasmus University Rotterdam (EUR),,Erasmus University Rotterdam (EUR),100,,,
University of Dundee - Dundee Law School and,University of Dundee - Dundee Law School,,100,,,
University of Zurich and,University of Zurich,,100,,,
"Comenius University in Bratislava, Faculty of Law and","Comenius University in Bratislava, Faculty of Law",,100,,,
McMaster University and,McMaster University,,100,,,
and Northeastern University,,Northeastern University,100,,,
and International Islamic University Malaysia - Department of Legal Practice,,International Islamic University Malaysia - Department of Legal Practice,100,,,
and Prince Salman bin Abdulaziz University,,Prince Salman bin Abdulaziz University,100,,,
Shri Dharmasthala Manjunatheshwara Institute for Management Development and,Shri Dharmasthala Manjunatheshwara Institute for Management Development,,100,,,
and York University - Schulich School of Business,,York University - Schulich School of Business,100,,,
and Birmingham City University,,Birmingham City University,100,,,
and New York University (NYU) - Department of Finance,,New York University (NYU) - Department of Finance,100,,,
Kyoto University - Graduate School of Management and,Kyoto University - Graduate School of Management,,100,,,
and New York University (NYU) - Department of Finance,,New York University (NYU) - Department of Finance,100,,,
and New York University (NYU) - Department of Finance,,New York University (NYU) - Department of Finance,100,,,
Indiana University - Kelley School of Business - Department of Business Law and,Indiana University - Kelley School of Business - Department of Business Law,,100,,,
and University of Central Arkansas,,University of Central Arkansas,100,,,
and University of Central Arkansas,,University of Central Arkansas,100,,,
University of Bern and,University of Bern,,100,,,
"and Universidad de los Andes, Colombia",,"Universidad de los Andes, Colombia",100,,,
National Open University of Nigeria - School of Management Sciences and,National Open University of Nigeria - School of Management Sciences,,100,,,
American University and,American University,,100,,,
and Poornaprajna Institute of Management,,Poornaprajna Institute of Management,100,,,
and Srinivas Institute of Management Studies,,Srinivas Institute of Management Studies,100,,,
and City University of Hong Kong (CityU),,City University of Hong Kong (CityU),100,,,
and Srinivas Institute of Management Studies,,Srinivas Institute of Management Studies,100,,,
"and Greenwich University Karachi, Students",,"Greenwich University Karachi, Students",100,,,
and Stanford Graduate School of Business,,Stanford Graduate School of Business,100,,,
and Advanced Technological Institute,,Advanced Technological Institute,100,,,
and Srinivas Institute of Management Studies,,Srinivas Institute of Management Studies,100,,,
and Manipal Academy of Higher Education (MAHE),,Manipal Academy of Higher Education (MAHE),100,,,
Manipal Academy of Higher Education (MAHE) and,Manipal Academy of Higher Education (MAHE),,100,,,
Northwestern University - Kellogg School of Management and,Northwestern University - Kellogg School of Management,,100,,,
and Srinivas Institute of Management Studies,,Srinivas Institute of Management Studies,100,,,
and Berhampur University,,Berhampur University,100,,,
University of Amsterdam Business School and,University of Amsterdam Business School,,100,,,
and National Autonomous University of Mexico (UNAM),,National Autonomous University of Mexico (UNAM),100,,,
Ohio State University (OSU) and,Ohio State University (OSU),,100,,,
El Colegio de Mexico - Centro de Estudios Economicos and,El Colegio de Mexico - Centro de Estudios Economicos,,100,,,
"and University of California, Riverside (UCR)",,"University of California, Riverside (UCR)",100,,,
"and University of California, Riverside (UCR)",,"University of California, Riverside (UCR)",100,,,
and Emory University,,Emory University,100,,,
and Poornaprajna Institute of Management,,Poornaprajna Institute of Management,100,,,
and University of British Columbia (UBC) - Division of Accounting,,University of British Columbia (UBC) - Division of Accounting,100,,,
and Autonomous University of Coahuila,,Autonomous University of Coahuila,100,,,
and Brandeis University - Department of Economics,,Brandeis University - Department of Economics,100,,,
"China University of Geosciences, Beijing and","China University of Geosciences, Beijing",,100,,,
"School of Law, Trinity College Dublin and","School of Law, Trinity College Dublin",,100,,,
and Tsinghua University,,Tsinghua University,100,,,
and,,,100,,,
and York University - Schulich School of Business,,York University - Schulich School of Business,100,,,
University of Missouri at Columbia - Department of Economics and,University of Missouri at Columbia - Department of Economics,,100,,,
"and HKU Business School, The University of Hong Kong",,"HKU Business School, The University of Hong Kong",100,,,
University of Connecticut - School of Business and,University of Connecticut - School of Business,,100,,,
University of Missouri at Columbia - Department of Economics and,University of Missouri at Columbia - Department of Economics,,100,,,
and Virginia Tech,,Virginia Tech,100,,,
Bank of Greece and,Bank of Greece,,100,,,
International Monetary Fund (IMF) and,International Monetary Fund (IMF),,100,,,
and Georgia State University,,Georgia State University,100,,,
and University of Connecticut - School of Business,,University of Connecticut - School of Business,100,,,
and Hanyang University Erica Campus,,Hanyang University Erica Campus,100,,,
and Copenhagen Business School,,Copenhagen Business School,100,,,
Tsinghua University - School of Law and,Tsinghua University - School of Law,,100,,,
and Copenhagen Business School - Department of Finance,,Copenhagen Business School - Department of Finance,100,,,
and affiliation not provided to SSRN,,affiliation not provided to SSRN,100,,,
and Rutgers University,,Rutgers University,100,,,
and THM Technische Hochschule Mittelhessen,,THM Technische Hochschule Mittelhessen,100,,,
and Center for Research for Transformation (Cenit),,Center for Research for Transformation (Cenit),100,,,
University of Kansas and,University of Kansas,,100,,,
and Trakia University,,Trakia University,100,,,
King&rsquos College London - Department of Political Economy and,King&rsquos College London - Department of Political Economy,,100,,,
and University of Oxford - Department of Economics,,University of Oxford - Department of Economics,100,,,
and UCLA Anderson School of Management,,UCLA Anderson School of Management,100,,,
Ilmenau University of Technology and,Ilmenau University of Technology,,100,,,
Universidade do Porto - Faculdade de Economia (FEP) and,Universidade do Porto - Faculdade de Economia (FEP),,100,,,
and Mekelle University,,Mekelle University,100,,,
and Trakia University,,Trakia University,100,,,
Università di Milano Bicocca and,Università di Milano Bicocca,,100,,,
University of Oxford - Faculty of Law and,University of Oxford - Faculty of Law,,100,,,
McGill University and,McGill University,,100,,,
and World Bank,,World Bank,100,,,
World Bank and,World Bank,,100,,,
"and University of California, Berkeley",,"University of California, Berkeley",100,,,
and Durham University Business School,,Durham University Business School,100,,,
and Proskauer Rose LLP,,Proskauer Rose LLP,100,,,
Fundação Getulio Vargas and,Fundação Getulio Vargas,,100,,,
"University of California, Santa Cruz and","University of California, Santa Cruz",,100,,,
and University of Michigan at Ann Arbor - School of Information,,University of Michigan at Ann Arbor - School of Information,100,,,
New York University Shanghai and,New York University Shanghai,,100,,,
and affiliation not provided to SSRN,,affiliation not provided to SSRN,100,,,
London School of Economics - Law School and,London School of Economics - Law School,,100,,,
University of Haifa - Department of Economics and,University of Haifa - Department of Economics,,100,,,
and,,,100,,,
"and University of Louisville, Louis D. Brandeis School of Law",,"University of Louisville, Louis D. Brandeis School of Law",100,,,
and Independent,,Independent,100,,,
and Texas Tech University - Rawls College of Business,,Texas Tech University - Rawls College of Business,100,,,
Federal Reserve Banks - Federal Reserve Bank of St. Louis and,Federal Reserve Banks - Federal Reserve Bank of St. Louis,,100,,,
and Imperial College Business School,,Imperial College Business School,100,,,
and University of North Texas,,University of North Texas,100,,,
and Harvard Business School,,Harvard Business School,100,,,
Birmingham City University and,Birmingham City University,,100,,,
and George Mason University - Mercatus Center,,George Mason University - Mercatus Center,100,,,
IZA Institute of Labor Economics and,IZA Institute of Labor Economics,,100,,,
and Nagoya University,,Nagoya University,100,,,
BI Norwegian Business School and,BI Norwegian Business School,,100,,,
University of Illinois at Urbana-Champaign - Department of Finance and,University of Illinois at Urbana-Champaign - Department of Finance,,100,,,
and Federal Reserve Bank of New York,,Federal Reserve Bank of New York,100,,,
Meta Platforms Inc and,Meta Platforms Inc,,100,,,
and International Labour Organization (ILO),,International Labour Organization (ILO),100,,,
George Washington University - School of Business and,George Washington University - School of Business,,100,,,
Edith Cowan University - School of Business & Law and,Edith Cowan University - School of Business & Law,,100,,,
Dartmouth College - Tuck School of Business and,Dartmouth College - Tuck School of Business,,100,,,
"Institute of Business Management (IoBM), Students and","Institute of Business Management (IoBM), Students",,100,,,
and International Trade,,International Trade,100,,,
Harvard Business School and,Harvard Business School,,100,,,
and University of Technology Sydney (UTS),,University of Technology Sydney (UTS),100,,,
and,,,100,,,
and,,,100,,,
and Singapore Management University - Yong Pung How School of Law,,Singapore Management University - Yong Pung How School of Law,100,,,
"Rutgers University, Newark - School of Business - Department of Finance & Economics and","Rutgers University, Newark - School of Business - Department of Finance & Economics",,100,,,
and University of Maribor - Faculty of Economics & Business,,University of Maribor - Faculty of Economics & Business,100,,,
Dalhousie University and,Dalhousie University,,100,,,
Research Institute of People's Bank of China and,Research Institute of People's Bank of China,,100,,,
Research Institute of People's Bank of China and,Research Institute of People's Bank of China,,100,,,
and UCM Institute for Economic Analysis,,UCM Institute for Economic Analysis,100,,,
and Institute of Business Management (IoBM),,Institute of Business Management (IoBM),100,,,
University of Miami - Department of Management and,University of Miami - Department of Management,,100,,,
and The Chinese University of Hong Kong (CUHK) - CUHK Business School,,The Chinese University of Hong Kong (CUHK) - CUHK Business School,100,,,
"Aarhus University, Department of Management and","Aarhus University, Department of Management",,100,,,
and Maharaja Surajmal Institute,,Maharaja Surajmal Institute,100,,,
"INGENIO (CSIC-UPV), Universidad Politécnica de Valencia and","INGENIO (CSIC-UPV), Universidad Politécnica de Valencia",,100,,,
Southern Methodist University (SMU) - Accounting Department and,Southern Methodist University (SMU) - Accounting Department,,100,,,
"and Institute of Business Management (IoBM), Students",,"Institute of Business Management (IoBM), Students",100,,,
"and  London Business School, Department of Finance",,"London Business School, Department of Finance",100,,,
and IESEG School of Management,,IESEG School of Management,100,,,
and Pennsylvania State University - Department of Finance,,Pennsylvania State University - Department of Finance,100,,,
and University of Melbourne,,University of Melbourne,100,,,
and University of Exeter,,University of Exeter,100,,,
and Institute for Human Development,,Institute for Human Development,100,,,
and University of Marburg - School of Business & Economics,,University of Marburg - School of Business & Economics,100,,,
and,,,100,,,
Angelo State University and,Angelo State University,,100,,,
and University of Padua,,University of Padua,100,,,
University of Connecticut - Department of Accounting and,University of Connecticut - Department of Accounting,,100,,,
University of Bern and,University of Bern,,100,,,
and Lidl,,Lidl,100,,,
University of Bern and,University of Bern,,100,,,
Texas A&M University - Department of Economics and,Texas A&M University - Department of Economics,,100,,,
University of Bern and,University of Bern,,100,,,
and,,,100,,,
University of Western Ontario - Department of Economics and,University of Western Ontario - Department of Economics,,100,,,
and Shanghai Jiao Tong University (SJTU) - Shanghai Advanced Institute of Finance (SAIF),,Shanghai Jiao Tong University (SJTU) - Shanghai Advanced Institute of Finance (SAIF),100,,,
North Carolina State University - Poole College of Management and,North Carolina State University - Poole College of Management,,100,,,
"University of Bristol, School of Economics and","University of Bristol, School of Economics",,100,,,
"University of Maryland, College Park and","University of Maryland, College Park",,100,,,
"and University of Pennsylvania - The Wharton School, Pension Research Council",,"University of Pennsylvania - The Wharton School, Pension Research Council",100,,,
University of Muenster  - Finance Center and,University of Muenster  - Finance Center,,100,,,
"University of Bristol, School of Economics and","University of Bristol, School of Economics",,100,,,
"University of Bristol, School of Economics and","University of Bristol, School of Economics",,100,,,
and New York University School of Law,,New York University School of Law,100,,,
University of Cologne and,University of Cologne,,100,,,
and Université Paris I Panthéon-Sorbonne,,Université Paris I Panthéon-Sorbonne,100,,,
University of Cambridge and,University of Cambridge,,100,,,
and Haas School of Business,,Haas School of Business,100,,,
Aalto University  and,Aalto University,,100,,,
and University of Toronto,,University of Toronto,100,,,
Yale School of Management and,Yale School of Management,,100,,,
"and University of Pennsylvania - The Wharton School, Pension Research Council",,"University of Pennsylvania - The Wharton School, Pension Research Council",100,,,
"and University of Pennsylvania - The Wharton School, Pension Research Council",,"University of Pennsylvania - The Wharton School, Pension Research Council",100,,,
Arizona State University W. P. Carey School of Business and,Arizona State University W. P. Carey School of Business,,100,,,
University of Illinois at Urbana-Champaign and,University of Illinois at Urbana-Champaign,,100,,,
University of Pennsylvania - Department of Economics and,University of Pennsylvania - Department of Economics,,100,,,
and Durham Business School,,Durham Business School,100,,,
and Williams College,,Williams College,100,,,
University of Western Ontario - Department of Economics and,University of Western Ontario - Department of Economics,,100,,,
Pennsylvania State University and,Pennsylvania State University,,100,,,
Pennsylvania State University and,Pennsylvania State University,,100,,,
Independent and,Independent,,100,,,
and United States Military Academy,,United States Military Academy,100,,,
National University Bangladesh and,National University Bangladesh,,100,,,
and Wilfrid Laurier University,,Wilfrid Laurier University,100,,,
State University - Education-Science-Production Complex and,State University - Education-Science-Production Complex,,100,,,
and London School of Economics & Political Science (LSE),,London School of Economics & Political Science (LSE),100,,,
and,,,100,,,
and Ilmenau University of Technology - Institute of Economics,,Ilmenau University of Technology - Institute of Economics,100,,,
Board of Governors of the Federal Reserve System and,Board of Governors of the Federal Reserve System,,100,,,
and University of Illinois at Urbana-Champaign - Department of Statistics,,University of Illinois at Urbana-Champaign - Department of Statistics,100,,,
University of Toronto - Strategic Management and,University of Toronto - Strategic Management,,100,,,
University of Toronto - Strategic Management and,University of Toronto - Strategic Management,,100,,,
University of Toronto - Strategic Management and,University of Toronto - Strategic Management,,100,,,
University of Rome Tor Vergata - Faculty of Economics and,University of Rome Tor Vergata - Faculty of Economics,,100,,,
"and Sapienza University of Rome - Department of Earth Sciences and Forecasting Research Center,  Prevention and Control of Geological Risks",,"Sapienza University of Rome - Department of Earth Sciences and Forecasting Research Center,  Prevention and Control of Geological Risks",100,,,
"and The Conference Board, Inc.",,"The Conference Board, Inc.",100,,,
and Auburn University Harbert College of Business,,Auburn University Harbert College of Business,100,,,
Boson Protocol and,Boson Protocol,,100,,,
Kyoto Sangyo University and,Kyoto Sangyo University,,100,,,
and,,,100,,,
Independent Expert and,Independent Expert,,100,,,
Independent Expert and,Independent Expert,,100,,,
Independent Expert and,Independent Expert,,100,,,
and University of Calgary - Haskayne School of Business,,University of Calgary - Haskayne School of Business,100,,,
University of Neuchatel - Institute of  Financial Analysis and,University of Neuchatel - Institute of  Financial Analysis,,100,,,
SOAS University of London and,SOAS University of London,,100,,,
and University of Dayton,,University of Dayton,100,,,
University of Neuchatel - Institute of  Financial Analysis and,University of Neuchatel - Institute of  Financial Analysis,,100,,,
Cyprus University of Technology and,Cyprus University of Technology,,100,,,
and,,,100,,,
and Autonomous University of Barcelona - Department of Applied Economics,,Autonomous University of Barcelona - Department of Applied Economics,100,,,
and Cyprus University of Technology,,Cyprus University of Technology,100,,,
Sri Venkateswara College of Engineering (SVCE) - Department of Management Studies and,Sri Venkateswara College of Engineering (SVCE) - Department of Management Studies,,100,,,
Adolfo Ibanez University - School of Business and,Adolfo Ibanez University - School of Business,,100,,,
Adolfo Ibanez University - School of Business and,Adolfo Ibanez University - School of Business,,100,,,
and Guru Nanak Dev University,,Guru Nanak Dev University,100,,,
Durham University - Law School and,Durham University - Law School,,100,,,
National University of Singapore (NUS) - Faculty of Law and,National University of Singapore (NUS) - Faculty of Law,,100,,,
and University of Strathclyde - School of Law,,University of Strathclyde - School of Law,100,,,
University of Amsterdam Business School and,University of Amsterdam Business School,,100,,,
and university of mysuru,,university of mysuru,100,,,
and Fordham University - Gabelli School of Business,,Fordham University - Gabelli School of Business,100,,,
Maharaja Institute of Technology Mysore and,Maharaja Institute of Technology Mysore,,100,,,
and Hanyang University Erica Campus,,Hanyang University Erica Campus,100,,,
CityU School of Law  and,CityU School of Law,,100,,,
"Indian Institute of Foreign Trade, Indian Institute of Foreign Trade, New Delhi and","Indian Institute of Foreign Trade, Indian Institute of Foreign Trade, New Delhi",,100,,,
Takming University of Science and Technology - Department of Banking and Finance and,Takming University of Science and Technology - Department of Banking and Finance,,100,,,
and University of Amsterdam Business School,,University of Amsterdam Business School,100,,,
and Independent,,Independent,100,,,
and Saint Petersburg State University,,Saint Petersburg State University,100,,,
and Srinivas Institute of Management Studies,,Srinivas Institute of Management Studies,100,,,
and The British University in Egypt,,The British University in Egypt,100,,,
and University of Minnesota - Minneapolis,,University of Minnesota - Minneapolis,100,,,
and McGill University - Desautels Faculty of Management,,McGill University - Desautels Faculty of Management,100,,,
and University of Missouri,,University of Missouri,100,,,
and University of Missouri,,University of Missouri,100,,,
and University of Bern,,University of Bern,100,,,
and Stanford University,,Stanford University,100,,,
and Asian Development Bank,,Asian Development Bank,100,,,
Monash University and,Monash University,,100,,,
and Imperial College London,,Imperial College London,100,,,
and IESEG School of Management,,IESEG School of Management,100,,,
and University of St. Gallen - School of Finance,,University of St. Gallen - School of Finance,100,,,
"and Binghamton University, The State University of New York",,"Binghamton University, The State University of New York",100,,,
University of Chicago - Booth School of Business and,University of Chicago - Booth School of Business,,100,,,
University of Chicago - Booth School of Business and,University of Chicago - Booth School of Business,,100,,,
International Monetary Fund (IMF) and,International Monetary Fund (IMF),,100,,,
and University of Messina,,University of Messina,100,,,
and,,,100,,,
and Bank of Italy,,Bank of Italy,100,,,
and Texas A&M University School of Law,,Texas A&M University School of Law,100,,,
International Monetary Fund (IMF) and,International Monetary Fund (IMF),,100,,,
International Monetary Fund (IMF) and,International Monetary Fund (IMF),,100,,,
Georgia State University and,Georgia State University,,100,,,
International Monetary Fund (IMF) and,International Monetary Fund (IMF),,100,,,
"and Northwestern University, Environmental Policy & Culture Program",,"Northwestern University, Environmental Policy & Culture Program",100,,,
Harvard Law School and,Harvard Law School,,100,,,
Peking University School of Transnational Law and,Peking University School of Transnational Law,,100,,,
and University of Wisconsin-Madison - Robert M. La Follette School of Public Affairs,,University of Wisconsin-Madison - Robert M. La Follette School of Public Affairs,100,,,
Labcorp and,Labcorp,,100,,,
"and University of Freiburg, Institute for Economic Research, affiliation not provided to SSRN",,"University of Freiburg, Institute for Economic Research, affiliation not provided to SSRN",100,,,
University of Alabama- Department of Political Science and,University of Alabama- Department of Political Science,,100,,,
and University of North Carolina at Chapel Hill,,University of North Carolina at Chapel Hill,100,,,
University of Colorado at Boulder and,University of Colorado at Boulder,,100,,,
National Research University Higher School of Economics (Moscow) and,National Research University Higher School of Economics (Moscow),,100,,,
Technical University of Applied Sciences Wildau and,Technical University of Applied Sciences Wildau,,100,,,
Aarhus University and,Aarhus University,,100,,,
and Bank of Italy,,Bank of Italy,100,,,
and Carnegie Mellon University,,Carnegie Mellon University,100,,,
and affiliation not provided to SSRN,,affiliation not provided to SSRN,100,,,
University of Trento - School of International Studies and,University of Trento - School of International Studies,,100,,,
and,,,100,,,
and University of Marburg - School of Business & Economics,,University of Marburg - School of Business & Economics,100,,,
Korea Development Institute (KDI) and,Korea Development Institute (KDI),,100,,,
Vrije Universiteit Amsterdam and,Vrije Universiteit Amsterdam,,100,,,
and,,,100,,,
and University of Strathclyde - School of Law,,University of Strathclyde - School of Law,100,,,
Ilmenau University of Technology and,Ilmenau University of Technology,,100,,,
University of Warwick - Warwick Business School and,University of Warwick - Warwick Business School,,100,,,
Ilmenau University of Technology and,Ilmenau University of Technology,,100,,,
and Stanford Law School,,Stanford Law School,100,,,
and Ilmenau University of Technology,,Ilmenau University of Technology,100,,,
"and University of Zagreb, Faculty of Law, Dpt of Economics",,"University of Zagreb, Faculty of Law, Dpt of Economics",100,,,
and Conselho Administrativo de Defesa Econômica - Cade,,Conselho Administrativo de Defesa Econômica - Cade,100,,,
University of Winnipeg and,University of Winnipeg,,100,,,
and Xiamen University,,Xiamen University,100,,,
University of Macau and,University of Macau,,100,,,
and American Enterprise Institute,,American Enterprise Institute,100,,,
and University of Amsterdam,,University of Amsterdam,100,,,
Oxford Institute for Economic Studies and,Oxford Institute for Economic Studies,,100,,,
Yale School of Management and,Yale School of Management,,100,,,
University of Bristol Business School and,University of Bristol Business School,,100,,,
and Kansas State University,,Kansas State University,100,,,
and University of Minho - Economic Policies Research Unit (NIPE),,University of Minho - Economic Policies Research Unit (NIPE),100,,,
"University of Warsaw, Faculty of Management and","University of Warsaw, Faculty of Management",,100,,,
"Comenius University in Bratislava, Faculty of Law and","Comenius University in Bratislava, Faculty of Law",,100,,,
Technical University of Applied Sciences Wildau and,Technical University of Applied Sciences Wildau,,100,,,
and Carnegie Mellon University,,Carnegie Mellon University,100,,,
and University of Illinois at Chicago,,University of Illinois at Chicago,100,,,
and University of Bonn,,University of Bonn,100,,,
Università degli Studi della Basilicata and,Università degli Studi della Basilicata,,100,,,
Technical University of Applied Sciences Wildau and,Technical University of Applied Sciences Wildau,,100,,,
"and University of Washington, Bothell School of Business",,"University of Washington, Bothell School of Business",100,,,
and University of Amsterdam,,University of Amsterdam,100,,,
Ludwig Maximilian University of Munich (LMU) - Faculty of Business Administration (Munich School of Management) and,Ludwig Maximilian University of Munich (LMU) - Faculty of Business Administration (Munich School of Management),,100,,,
and Cleary Gottlieb Steen & Hamilton LLP,,Cleary Gottlieb Steen & Hamilton LLP,100,,,
and University of International Business and Economics (UIBE) - School of Banking and Finance,,University of International Business and Economics (UIBE) - School of Banking and Finance,100,,,
and ESC Rennes School of Business,,ESC Rennes School of Business,100,,,
University of British Columbia (UBC) - Sauder School of Business and,University of British Columbia (UBC) - Sauder School of Business,,100,,,
Georgetown University and,Georgetown University,,100,,,
RedPeak Economics Consulting and,RedPeak Economics Consulting,,100,,,
"University of Zagreb, Faculty of Law, Dpt of Economics and","University of Zagreb, Faculty of Law, Dpt of Economics",,100,,,
Santa Clara University - Leavey School of Business - Economics Department and,Santa Clara University - Leavey School of Business - Economics Department,,100,,,
and Ludwig Maximilian University of Munich (LMU) - Faculty of Business Administration (Munich School of Management),,Ludwig Maximilian University of Munich (LMU) - Faculty of Business Administration (Munich School of Management),100,,,
and Università degli Studi della Basilicata,,Università degli Studi della Basilicata,100,,,
Frankfurt School of Finance & Management and,Frankfurt School of Finance & Management,,100,,,
Technical University of Applied Sciences Wildau and,Technical University of Applied Sciences Wildau,,100,,,
"and Universidad Autonoma de Chile, Ministry of Foreign Affairs, Government of Chile",,"Universidad Autonoma de Chile, Ministry of Foreign Affairs, Government of Chile",100,,,
Pi-Touch Institute and,Pi-Touch Institute,,100,,,
"and University of Warsaw, Faculty of Management",,"University of Warsaw, Faculty of Management",100,,,
and BFA,,BFA,100,,,
and University of Mannheim,,University of Mannheim,100,,,
and gLAWcal - Global Law Initiatives for Sustainable Development,,gLAWcal - Global Law Initiatives for Sustainable Development,100,,,
Virginia Commonwealth University and,Virginia Commonwealth University,,100,,,
"and Ludwig Maximilian University of Munich (LMU), Ludwig Maximilian University of Munich (LMU) - Faculty of Economics",,"Ludwig Maximilian University of Munich (LMU), Ludwig Maximilian University of Munich (LMU) - Faculty of Economics",100,,,
and Bocconi University - Department of Economics,,Bocconi University - Department of Economics,100,,,
HKUST Business School and,HKUST Business School,,100,,,
Università degli Studi della Basilicata and,Università degli Studi della Basilicata,,100,,,
and Harvard University - Harvard Business School,,Harvard University - Harvard Business School,100,,,
Independent and,Independent,,100,,,
Ecole Polytechnique Fédérale de Lausanne and,Ecole Polytechnique Fédérale de Lausanne,,100,,,
and University of Chicago - Booth School of Business,,University of Chicago - Booth School of Business,100,,,
and University of Chicago - Booth School of Business,,University of Chicago - Booth School of Business,100,,,
and University of Chicago - Booth School of Business,,University of Chicago - Booth School of Business,100,,,
Board of Governors of the Federal Reserve System and,Board of Governors of the Federal Reserve System,,100,,,
and,,,100,,,
and City University of New York (CUNY),,City University of New York (CUNY),100,,,
"and Brownstein Hyatt Farber Schreck, LLP",,"Brownstein Hyatt Farber Schreck, LLP",100,,,
University of Nebraska at Omaha - Department of Economics and,University of Nebraska at Omaha - Department of Economics,,100,,,
and,,,100,,,
and UCLouvain - LIDAM / CORE,,UCLouvain - LIDAM / CORE,100,,,
and Johns Hopkins University - Carey Business School,,Johns Hopkins University - Carey Business School,100,,,
and Bocconi University - Department of Economics,,Bocconi University - Department of Economics,100,,,
and University of Maryland Carey School of Law,,University of Maryland Carey School of Law,100,,,
Massachusetts Institute of Technology (MIT) and,Massachusetts Institute of Technology (MIT),,100,,,
and Simon Fraser University (SFU),,Simon Fraser University (SFU),100,,,
and Centro de Investigación y Docencia Económicas,,Centro de Investigación y Docencia Económicas,100,,,
and George Mason University,,George Mason University,100,,,
and The University of Sydney,,The University of Sydney,100,,,
University of Bern and,University of Bern,,100,,,
University of Bern and,University of Bern,,100,,,
and Texas Tech University - Rawls College of Business,,Texas Tech University - Rawls College of Business,100,,,
ZEW – Leibniz Centre for European Economic Research and,ZEW – Leibniz Centre for European Economic Research,,100,,,
Amazon and,Amazon,,100,,,
and ZEW – Leibniz Centre for European Economic Research,,ZEW – Leibniz Centre for European Economic Research,100,,,
and University of Oxford - Faculty of Law,,University of Oxford - Faculty of Law,100,,,
and affiliation not provided to SSRN,,affiliation not provided to SSRN,100,,,
University of Groningen and,University of Groningen,,100,,,
University of Scranton - Kania School of Management and,University of Scranton - Kania School of Management,,100,,,
and INCEIF University,,INCEIF University,100,,,
and University of Auckland Business School,,University of Auckland Business School,100,,,
Yokohama City University and,Yokohama City University,,100,,,
University of Helsinki - Helsinki Graduate School of Economics and,University of Helsinki - Helsinki Graduate School of Economics,,100,,,
and University of Bonn,,University of Bonn,100,,,
Vanderbilt University - Finance and,Vanderbilt University - Finance,,100,,,
"and Queen Mary University of London, School of Law",,"Queen Mary University of London, School of Law",100,,,
and Case Western Reserve University - Department of Banking & Finance,,Case Western Reserve University - Department of Banking & Finance,100,,,
and,,,100,,,
"and Simon Graduate School of Business, University of Rochester",,"Simon Graduate School of Business, University of Rochester",100,,,
Queen's University Faculty of Law and,Queen's University Faculty of Law,,100,,,
and Stanford University - Knight Management Center,,Stanford University - Knight Management Center,100,,,
and Stanford University - Knight Management Center,,Stanford University - Knight Management Center,100,,,
"Columbia University - Columbia Business School, Finance and","Columbia University - Columbia Business School, Finance",,100,,,
"Columbia University - Columbia Business School, Finance and","Columbia University - Columbia Business School, Finance",,100,,,
Indian School of Business and,Indian School of Business,,100,,,
and University of Toronto - Rotman School of Management,,University of Toronto - Rotman School of Management,100,,,
and affiliation not provided to SSRN,,affiliation not provided to SSRN,100,,,
Massachusetts Institute of Technology (MIT) - Operations Research Center and,Massachusetts Institute of Technology (MIT) - Operations Research Center,,100,,,
and Xi'an University of Architecture & Technology,,Xi'an University of Architecture & Technology,100,,,
Catholic University of Louvain (UCL) and,Catholic University of Louvain (UCL),,100,,,
Hebrew University of Jerusalem - School of Public Policy and,Hebrew University of Jerusalem - School of Public Policy,,100,,,
and,,,100,,,
and University College Cork,,University College Cork,100,,,
affiliation not provided to SSRN and,affiliation not provided to SSRN,,100,,,
and International Monetary Fund (IMF),,International Monetary Fund (IMF),100,,,
and Goethe University Frankfurt,,Goethe University Frankfurt,100,,,
"and University of Trento, Università della Svizzera italiana",,"University of Trento, Università della Svizzera italiana",100,,,
and International Monetary Fund (IMF),,International Monetary Fund (IMF),100,,,
and Government of Canada - Bank of Canada,,Government of Canada - Bank of Canada,100,,,
European Central Bank (ECB) and,European Central Bank (ECB),,100,,,
and no affiliation,,no affiliation,100,,,
and European Stability Mechanism,,European Stability Mechanism,100,,,
and University of Hohenheim,,University of Hohenheim,100,,,
Max Planck Society for the Advancement of the Sciences - Munich Center for the Economics of Aging (MEA) and,Max Planck Society for the Advancement of the Sciences - Munich Center for the Economics of Aging (MEA),,100,,,
The University of Sydney - School of Economics and,The University of Sydney - School of Economics,,100,,,
University of Erlangen-Nuremberg-Friedrich Alexander Universität Erlangen Nürnberg and,University of Erlangen-Nuremberg-Friedrich Alexander Universität Erlangen Nürnberg,,100,,,
